Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,Выполняемые функции,Должность за кем закреплен ТС,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
,,,,,,,,07.04.2024,"163,00",07.04.2024,"163,00",,
,,,,,,,,08.04.2024,"401,00",08.04.2024,"401,00",,
,,,,,,,,09.04.2024,"137,00",09.04.2024,"137,00",,
,,,,,,,,10.04.2024,"269,00",10.04.2024,"269,00",,
,,,,,,,,11.04.2024,"453,00",11.04.2024,"453,00",,
,,,,,,,,12.04.2024,"939,00",12.04.2024,"939,00",,
,,,,,,,,13.04.2024,"61,00",13.04.2024,"61,00",,
,,,,,,,,15.04.2024,"619,00",15.04.2024,"619,00",,
,,,,,,,,16.04.2024,"1055,00",16.04.2024,"1055,00",,
,,,,,,,,17.04.2024,"978,00",17.04.2024,"978,00",,
,,,,,,,,18.04.2024,"1056,00",18.04.2024,"891,00",,
,,,,,,,,19.04.2024,"781,00",19.04.2024,"781,00",,
,,,,,,,,20.04.2024,"107,00",20.04.2024,"107,00",,
,,,,,,,,21.04.2024,"822,00",21.04.2024,"822,00",1,
,,,,,,,,22.04.2024,"873,00",22.04.2024,"873,00",,
,,,,,,,,23.04.2024,"536,00",23.04.2024,"536,00",,
,,,,,,,,24.04.2024,"135,00",24.04.2024,"1135,00",,
,,,,,,,,25.04.2024,"973,00",25.04.2024,"973,00",,
,,,,,,,,26.04.2024,"221,00",26.04.2024,"221,00",,
,,,,,,,,27.04.2024,"111,00",27.04.2024,"111,00",,
,,,,,,,,28.04.2024,"894,00",28.04.2024,"894,00",,
,,,,,,,,29.04.2024,"135,00",29.04.2024,"1135,00",1,
,,,,,,,,30.04.2024,"765,00",30.04.2024,"765,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,О667ММ99,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,"18975,1",,"17700,14",12,"3,9"
,,,,,,,,01.04.2024,"1000,00",01.04.2024,"1000,00",3,
,,,,,,,,02.04.2024,"647,00",02.04.2024,"347,00",,
,,,,,,,,03.04.2024,"279,00",03.04.2024,"279,00",,
,,,,,,,,04.04.2024,"466,00",04.04.2024,"466,00",,
,,,,,,,,05.04.2024,"157,00",05.04.2024,"157,00",,
,,,,,,,,06.04.2024,"558,00",06.04.2024,"558,00",,
,,,,,,,,07.04.2024,"163,00",07.04.2024,"163,00",,
,,,,,,,,08.04.2024,"985,01",08.04.2024,"985,00",5,
,,,,,,,,09.04.2024,"137,00",09.04.2024,"131,00",,
,,,,,,,,10.04.2024,"269,00",10.04.2024,"269,00",,
,,,,,,,,11.04.2024,"453,00",11.04.2024,"453,00",,
,,,,,,,,12.04.2024,"939,00",12.04.2024,"939,00",,
,,,,,,,,13.04.2024,"1061,00",13.04.2024,"161,00",2,
,,,,,,,,15.04.2024,"619,00",15.04.2024,"619,00",,
,,,,,,,,16.04.2024,"1055,00",16.04.2024,"1055,00",1,
,,,,,,,,17.04.2024,"978,00",17.04.2024,"978,00",,
,,,,,,,,18.04.2024,"1056,00",18.04.2024,"1056,00",,
,,,,,,,,19.04.2024,"781,00",19.04.2024,"781,00",1,
,,,,,,,,20.04.2024,"907,00",20.04.2024,"907,14",,
,,,,,,,,21.04.2024,"822,00",21.04.2024,"822,00",,
,,,,,,,,22.04.2024,"873,00",22.04.2024,"873,00",,
,,,,,,,,23.04.2024,"536,00",23.04.2024,"536,00",,
,,,,,,,,24.04.2024,"135,00",24.04.2024,"135,00",,
,,,,,,,,25.04.2024,"973,00",25.04.2024,"973,00",,
,,,,,,,,26.04.2024,"221,00",26.04.2024,"221,00",,
,,,,,,,,27.04.2024,"1111,00",27.04.2024,"1111,00",,
,,,,,,,,28.04.2024,"894,00",28.04.2024,"825,00",,
,,,,,,,,29.04.2024,"135,00",29.04.2024,"135,00",,
,,,,,,,,30.04.2024,"765,00",30.04.2024,"765,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,В407СО799,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,17128,,"17654,41",16,"5,9"
,,,,,,,,01.04.2024,"654,00",01.04.2024,"354,00",,
,,,,,,,,02.04.2024,"347,00",02.04.2024,"347,00",,
,,,,,,,,03.04.2024,"279,00",03.04.2024,"279,00",3,
,,,,,,,,04.04.2024,"466,00",04.04.2024,"466,00",,
,,,,,,,,05.04.2024,"157,00",05.04.2024,"357,00",,
,,,,,,,,06.04.2024,"558,00",06.04.2024,"558,00",,
,,,,,,,,07.04.2024,"163,00",07.04.2024,"163,00",,
,,,,,,,,08.04.2024,"985,00",08.04.2024,"985,00",,
,,,,,,,,09.04.2024,"131,00",09.04.2024,"355,00",2,
,,,,,,,,10.04.2024,"269,00",10.04.2024,"269,00",,
,,,,,,,,11.04.2024,"453,00",11.04.2024,"453,00",,
,,,,,,,,12.04.2024,"939,00",12.04.2024,"939,00",3,
,,,,,,,,13.04.2024,"161,00",13.04.2024,"161,00",,
,,,,,,,,15.04.2024,"619,00",15.04.2024,"619,00",4,
,,,,,,,,16.04.2024,"912,00",16.04.2024,"912,00",,
,,,,,,,,17.04.2024,"978,00",17.04.2024,"978,00",,
,,,,,,,,18.04.2024,"1056,00",18.04.2024,"1056,00",,
,,,,,,,,19.04.2024,"781,00",19.04.2024,"781,00",,
,,,,,,,,20.04.2024,"907,14",20.04.2024,"907,14",,
,,,,,,,,21.04.2024,"822,00",21.04.2024,"822,00",4,
,,,,,,,,22.04.2024,"873,00",22.04.2024,"875,41",,
,,,,,,,,23.04.2024,"536,00",23.04.2024,"536,00",,
,,,,,,,,24.04.2024,"135,00",24.04.2024,"135,00",,
,,,,,,,,25.04.2024,"974,00",25.04.2024,"974,00",,
,,,,,,,,26.04.2024,"222,86",26.04.2024,"222,86",,
,,,,,,,,27.04.2024,"1111,00",27.04.2024,"1111,00",,
,,,,,,,,28.04.2024,"759,00",28.04.2024,"759,00",,
,,,,,,,,29.04.2024,"115,00",29.04.2024,"515,00",,
,,,,,,,,30.04.2024,"765,00",30.04.2024,"765,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Х494КР177,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,968,,0,0,0
,,,,,,,,01.04.2024,"328,00",,,,
,,,,,,,,14.04.2024,"331,00",,,,
,,,,,,,,15.04.2024,"209,00",,,,
,,,,,,,,22.04.2024,"18,00",,,,
,,,,,,,,25.04.2024,"21,00",,,,
,,,,,,,,27.04.2024,"61,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Е601ОХ199,Московская механизированная дистанция погрузочно-разгрузочных рабо#,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,М055МА177,Орловская механизированная дистанция погрузочно-разгрузочных работ,Прочие,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,М059ОВ177,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,3683,,0,0,0
,,,,,,,,01.04.2024,"100,00",,,,
,,,,,,,,02.04.2024,"47,00",,,,
,,,,,,,,03.04.2024,"279,00",,,,
,,,,,,,,04.04.2024,"66,00",,,,
,,,,,,,,05.04.2024,"151,00",,,,
,,,,,,,,06.04.2024,"158,00",,,,
,,,,,,,,07.04.2024,"163,00",,,,
,,,,,,,,08.04.2024,"401,00",,,,
,,,,,,,,09.04.2024,"137,00",,,,
,,,,,,,,10.04.2024,"269,00",,,,
,,,,,,,,11.04.2024,"453,00",,,,
,,,,,,,,12.04.2024,"39,00",,,,
,,,,,,,,13.04.2024,"61,00",,,,
,,,,,,,,15.04.2024,"82,00",,,,
,,,,,,,,16.04.2024,"55,00",,,,
,,,,,,,,17.04.2024,"68,00",,,,
,,,,,,,,18.04.2024,"55,00",,,,
,,,,,,,,19.04.2024,"76,00",,,,
,,,,,,,,20.04.2024,"101,00",,,,
,,,,,,,,21.04.2024,"22,00",,,,
,,,,,,,,22.04.2024,"73,00",,,,
,,,,,,,,23.04.2024,"67,00",,,,
,,,,,,,,24.04.2024,"155,00",,,,
,,,,,,,,25.04.2024,"73,00",,,,
,,,,,,,,26.04.2024,"221,00",,,,
,,,,,,,,27.04.2024,"111,00",,,,
,,,,,,,,28.04.2024,"0,00",,,,
,,,,,,,,29.04.2024,"135,00",,,,
,,,,,,,,30.04.2024,"65,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9573ВС77,Орловская механизированная дистанция погрузочно-разгрузочных работ,Прочие,,,,0,,"124,12",0,0
,,,,,,,,,,04.04.2024,"54,12",,
,,,,,,,,,,07.04.2024,"1,00",,
,,,,,,,,,,17.04.2024,"69,00",,
,,,,,,,,,,28.04.2024,"0,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9570ВС77,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,0,,"1253,24",6,"4,2"
,,,,,,,,,,01.04.2024,"256,00",2,
,,,,,,,,,,11.04.2024,"49,00",,
,,,,,,,,,,12.04.2024,"6,00",,
,,,,,,,,,,15.04.2024,"5,00",,
,,,,,,,,,,18.04.2024,"28,00",,
,,,,,,,,,,19.04.2024,"268,00",2,
,,,,,,,,,,20.04.2024,"7,00",,
,,,,,,,,,,23.04.2024,"54,00",,
,,,,,,,,,,24.04.2024,"14,00",,
,,,,,,,,,,25.04.2024,"22,00",,
,,,,,,,,,,26.04.2024,"455,00",2,
,,,,,,,,,,27.04.2024,"26,00",,
,,,,,,,,,,28.04.2024,"17,24",,
,,,,,,,,,,30.04.2024,"46,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9590ВС77,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,0,,"154,1",3,2
,,,,,,,,,,01.04.2024,"103,00",3,
,,,,,,,,,,11.04.2024,"49,00",,
,,,,,,,,,,12.04.2024,"2,10",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9591ВС77,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,0,,"512,3",0,"5,9"
,,,,,,,,,,01.04.2024,"108,00",,
,,,,,,,,,,14.04.2024,"98,00",,
,,,,,,,,,,15.04.2024,"209,00",,
,,,,,,,,,,22.04.2024,"15,30",,
,,,,,,,,,,25.04.2024,"21,00",,
,,,,,,,,,,27.04.2024,"61,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,0170ВУ77,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,М100СН177,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,1251,,"1291,83",8,"5,9"
,,,,,,,,01.04.2024,"254,00",01.04.2024,"254,00",1,
,,,,,,,,11.04.2024,"49,00",11.04.2024,"49,00",2,
,,,,,,,,12.04.2024,"6,00",12.04.2024,"26,00",,
,,,,,,,,15.04.2024,"5,00",15.04.2024,"5,00",,
,,,,,,,,18.04.2024,"28,00",18.04.2024,"28,00",1,
,,,,,,,,19.04.2024,"268,00",19.04.2024,"268,00",,
,,,,,,,,20.04.2024,"7,00",20.04.2024,"17,00",,
,,,,,,,,23.04.2024,"54,00",23.04.2024,"54,00",1,
,,,,,,,,24.04.2024,"14,00",24.04.2024,"14,00",,
,,,,,,,,25.04.2024,"22,00",25.04.2024,"22,00",1,
,,,,,,,,26.04.2024,"455,00",26.04.2024,"455,00",,
,,,,,,,,27.04.2024,"26,00",27.04.2024,"26,00",1,
,,,,,,,,28.04.2024,"17,00",28.04.2024,"27,83",,
,,,,,,,,30.04.2024,"46,00",30.04.2024,"46,00",1,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9503ВС77,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9567ВС77,Орловская механизированная дистанция погрузочно-разгрузочных работ,Прочие,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9415ВВ77,Орловская механизированная дистанция погрузочно-разгрузочных работ,Прочие,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,А003АР57,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,7303,,"7941,54",3,"3,7"
,,,,,,,,04.04.2024,"462,00",04.04.2024,"462,00",,
,,,,,,,,05.04.2024,"157,00",05.04.2024,"157,00",,
,,,,,,,,06.04.2024,"158,00",06.04.2024,"158,00",,
,,,,,,,,07.04.2024,"163,00",07.04.2024,"163,00",,
,,,,,,,,08.04.2024,"401,00",08.04.2024,"401,00",,
,,,,,,,,09.04.2024,"127,00",09.04.2024,"120,54",,
,,,,,,,,10.04.2024,"0,00",10.04.2024,"251,00",,
,,,,,,,,11.04.2024,"440,00",11.04.2024,"440,00",,
,,,,,,,,12.04.2024,"903,00",12.04.2024,"903,00",1,
,,,,,,,,13.04.2024,"61,00",13.04.2024,"62,00",,
,,,,,,,,15.04.2024,"82,00",15.04.2024,"82,00",1,
,,,,,,,,16.04.2024,"55,00",16.04.2024,"55,00",,
,,,,,,,,17.04.2024,"68,00",17.04.2024,"68,00",,
,,,,,,,,18.04.2024,"55,00",18.04.2024,"55,00",,
,,,,,,,,19.04.2024,"76,00",19.04.2024,"76,00",,
,,,,,,,,20.04.2024,"107,00",20.04.2024,"107,00",,
,,,,,,,,21.04.2024,"822,00",21.04.2024,"822,00",,
,,,,,,,,22.04.2024,"0,00",22.04.2024,"245,00",,
,,,,,,,,23.04.2024,"67,00",23.04.2024,"67,00",1,
,,,,,,,,24.04.2024,"135,00",24.04.2024,"135,00",,
,,,,,,,,25.04.2024,"973,00",25.04.2024,"943,00",,
,,,,,,,,26.04.2024,"221,00",26.04.2024,"221,00",,
,,,,,,,,27.04.2024,"111,00",27.04.2024,"111,00",,
,,,,,,,,28.04.2024,"894,00",28.04.2024,"894,00",,
,,,,,,,,29.04.2024,"0,00",29.04.2024,"178,00",,
,,,,,,,,30.04.2024,"765,00",30.04.2024,"765,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,О141ВН177,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,,,,771,,736,5,1
,,,,,,,,01.04.2024,"76,00",01.04.2024,"76,00",,
,,,,,,,,03.04.2024,"22,00",03.04.2024,"12,00",,
,,,,,,,,08.04.2024,"30,00",08.04.2024,"30,00",,
,,,,,,,,10.04.2024,"154,00",10.04.2024,"154,00",5,
,,,,,,,,11.04.2024,"15,00",11.04.2024,"15,00",,
,,,,,,,,15.04.2024,"18,00",15.04.2024,"18,00",,
,,,,,,,,16.04.2024,"25,00",16.04.2024,"0,00",,
,,,,,,,,17.04.2024,"17,00",17.04.2024,"17,00",,
,,,,,,,,18.04.2024,"137,00",18.04.2024,"137,00",,
,,,,,,,,19.04.2024,"11,00",19.04.2024,"11,00",,
,,,,,,,,22.04.2024,"11,00",22.04.2024,"11,00",,
,,,,,,,,24.04.2024,"10,00",24.04.2024,"10,00",,
,,,,,,,,26.04.2024,245,26.04.2024,245,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,1743ВМ77,Орловская механизированная дистанция погрузочно-разгрузочных работ,Прочие,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,Х605СР97,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,Прочие,,,,82,,654,4,"4,6"
,,,,,,,,15.04.2024,"56,00",01.04.2024,"73,00",,
,,,,,,,,16.04.2024,"25,00",03.04.2024,"48,00",1,
,,,,,,,,23.04.2024,1,08.04.2024,"30,00",,
,,,,,,,,,,10.04.2024,"154,00",2,
,,,,,,,,,,11.04.2024,"15,00",,
,,,,,,,,,,15.04.2024,"56,00",1,
,,,,,,,,,,16.04.2024,"25,00",,
,,,,,,,,,,17.04.2024,"17,00",,
,,,,,,,,,,18.04.2024,"137,00",,
,,,,,,,,,,19.04.2024,"58,00",,
,,,,,,,,,,22.04.2024,"41,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,А565ВС177,Орловская механизированная дистанция погрузочно-разгрузочных работ,Прочие,,,,0,,"0,33",0,"5,9"
,,,,,,,,,,14.04.2024,"0,33",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,9575ВС77,Орловская механизированная дистанция погрузочно-разгрузочных работ,В целевой структуре парка,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,М059СН177,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,В целевой структуре парка,,,,1353,,1346,2,"5,2"
,,,,,,,,01.04.2024,"254,00",01.04.2024,"254,00",,
,,,,,,,,11.04.2024,"49,00",11.04.2024,"49,00",,
,,,,,,,,12.04.2024,"6,00",12.04.2024,"6,00",,
,,,,,,,,15.04.2024,"5,00",15.04.2024,"5,00",1,
,,,,,,,,18.04.2024,"28,00",18.04.2024,"28,00",,
,,,,,,,,19.04.2024,"268,00",19.04.2024,"248,00",,
,,,,,,,,20.04.2024,"9,00",20.04.2024,"7,00",1,
,,,,,,,,23.04.2024,"54,00",23.04.2024,"64,00",,
,,,,,,,,24.04.2024,"114,00",24.04.2024,"124,00",,
,,,,,,,,25.04.2024,"22,00",25.04.2024,"22,00",,
,,,,,,,,26.04.2024,"455,00",26.04.2024,"450,00",,
,,,,,,,,27.04.2024,"26,00",27.04.2024,"26,00",,
,,,,,,,,28.04.2024,"17,00",28.04.2024,"17,00",,
,,,,,,,,30.04.2024,"46,00",30.04.2024,"46,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,О666ММ99,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,Прочие,,,,6483,,"6504,12",15,"4,5"
,,,,,,,,02.04.2024,"25,00",02.04.2024,"29,00",,
,,,,,,,,03.04.2024,"279,00",03.04.2024,"279,00",,
,,,,,,,,04.04.2024,"241,00",04.04.2024,"241,00",2,
,,,,,,,,05.04.2024,"365,00",05.04.2024,"365,00",,
,,,,,,,,06.04.2024,"201,10",06.04.2024,"201,10",,
,,,,,,,,07.04.2024,"351,16",07.04.2024,"351,16",2,
,,,,,,,,08.04.2024,"301,00",08.04.2024,"301,00",,
,,,,,,,,09.04.2024,"365,12",09.04.2024,"365,12",,
,,,,,,,,10.04.2024,"269,00",10.04.2024,"269,00",2,
,,,,,,,,11.04.2024,"253,00",11.04.2024,"253,00",,
,,,,,,,,12.04.2024,"234,64",12.04.2024,"234,64",,
,,,,,,,,13.04.2024,"224,62",13.04.2024,"224,62",2,
,,,,,,,,15.04.2024,"357,12",15.04.2024,"377,12",,
,,,,,,,,16.04.2024,"412,02",16.04.2024,"412,02",,
,,,,,,,,17.04.2024,"298,30",17.04.2024,"298,30",2,
,,,,,,,,18.04.2024,"251,96",18.04.2024,"251,96",,
,,,,,,,,19.04.2024,"365,16",19.04.2024,"365,16",,
,,,,,,,,20.04.2024,"296,00",20.04.2024,"293,00",1,
,,,,,,,,21.04.2024,"254,00",21.04.2024,"254,12",,
,,,,,,,,22.04.2024,"210,17",22.04.2024,"210,17",1,
,,,,,,,,23.04.2024,"284,36",23.04.2024,"284,36",1,
,,,,,,,,24.04.2024,"255,12",24.04.2024,"255,12",1,
,,,,,,,,25.04.2024,"389,15",25.04.2024,"389,15",1,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,К331СР777,Брянско-Смоленская механизированная дистанция погрузочно-разгрузоч#,Прочие,технологический,ЦМ,,14682,,"14700,65",2,"5,8"
,,,,,,,,01.04.2024,"123,00",01.04.2024,"123,00",,
,,,,,,,,02.04.2024,"347,00",02.04.2024,"346,65",,
,,,,,,,,03.04.2024,"279,00",03.04.2024,"279,00",,
,,,,,,,,04.04.2024,"466,00",04.04.2024,"466,00",,
,,,,,,,,05.04.2024,"157,00",05.04.2024,"157,00",1,
,,,,,,,,06.04.2024,"364,00",06.04.2024,"363,00",1,
,,,,,,,,07.04.2024,"163,00",07.04.2024,"163,00",,
,,,,,,,,08.04.2024,"985,00",08.04.2024,"985,00",,
,,,,,,,,09.04.2024,"131,00",09.04.2024,"131,00",,
,,,,,,,,10.04.2024,"269,00",10.04.2024,"269,00",,
,,,,,,,,11.04.2024,"453,00",11.04.2024,"453,00",,
,,,,,,,,12.04.2024,"939,00",12.04.2024,"939,00",,
,,,,,,,,13.04.2024,"180,00",13.04.2024,"180,00",,
,,,,,,,,15.04.2024,"619,00",15.04.2024,"619,00",,
,,,,,,,,16.04.2024,"912,00",16.04.2024,"912,00",,
,,,,,,,,17.04.2024,"978,00",17.04.2024,"978,00",,
,,,,,,,,18.04.2024,"1056,00",18.04.2024,"1056,00",,
,,,,,,,,19.04.2024,"781,00",19.04.2024,"781,00",,
,,,,,,,,20.04.2024,"907,14",20.04.2024,"927,14",,
,,,,,,,,21.04.2024,"822,00",21.04.2024,"822,00",,
,,,,,,,,22.04.2024,"873,00",22.04.2024,"873,00",,
,,,,,,,,23.04.2024,"536,00",23.04.2024,"536,00",,
,,,,,,,,24.04.2024,"135,00",24.04.2024,"135,00",,
,,,,,,,,25.04.2024,"563,00",25.04.2024,"563,00",,
,,,,,,,,26.04.2024,"222,86",26.04.2024,"222,86",,
,,,,,,,,27.04.2024,"125,00",27.04.2024,"125,00",,
,,,,,,,,28.04.2024,"719,00",28.04.2024,"719,00",,
,,,,,,,,29.04.2024,"145,00",29.04.2024,"145,00",,
,,,,,,,,30.04.2024,"432,00",30.04.2024,"432,00",,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,О695МУ799,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,первый зам.нач.дирекции,"Первый заместитель руководителя филиала ОАО ""РЖД""",,5442,,0,15,"5,3"
,,,,,,,,01.04.2024,"1254,00",,,4,
,,,,,,,,11.04.2024,"49,00",,,,
,,,,,,,,12.04.2024,"6,00",,,,
,,,,,,,,15.04.2024,"964,00",,,,
,,,,,,,,18.04.2024,"28,00",,,,
,,,,,,,,19.04.2024,"268,00",,,5,
,,,,,,,,20.04.2024,"1239,00",,,,
,,,,,,,,23.04.2024,"54,00",,,,
,,,,,,,,24.04.2024,"114,00",,,2,
,,,,,,,,25.04.2024,"22,00",,,,
,,,,,,,,26.04.2024,"455,00",,,,
,,,,,,,,27.04.2024,"26,00",,,2,
,,,,,,,,28.04.2024,"917,00",,,1,
,,,,,,,,30.04.2024,"46,00",,,1,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,О001ММ797,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,начальник дирекции,"Руководитель филиала ОАО ""РЖД""",,15426,,0,10,6
,,,,,,,,01.04.2024,"123,00",,,,
,,,,,,,,02.04.2024,"147,00",,,1,
,,,,,,,,03.04.2024,"279,00",,,,
,,,,,,,,04.04.2024,"466,00",,,,
,,,,,,,,05.04.2024,"157,00",,,2,
,,,,,,,,06.04.2024,"364,00",,,,
,,,,,,,,07.04.2024,"167,00",,,,
,,,,,,,,08.04.2024,"985,00",,,1,
,,,,,,,,09.04.2024,"131,00",,,,
,,,,,,,,10.04.2024,"269,00",,,,
,,,,,,,,11.04.2024,"453,00",,,,
,,,,,,,,12.04.2024,"939,00",,,2,
,,,,,,,,13.04.2024,"180,00",,,,
,,,,,,,,15.04.2024,"619,00",,,,
,,,,,,,,16.04.2024,"912,00",,,3,
,,,,,,,,17.04.2024,"978,00",,,,
,,,,,,,,18.04.2024,"1056,00",,,,
,,,,,,,,19.04.2024,"781,00",,,1,
,,,,,,,,20.04.2024,"907,14",,,,
,,,,,,,,21.04.2024,"822,00",,,,
,,,,,,,,22.04.2024,"813,00",,,,
,,,,,,,,23.04.2024,"536,00",,,,
,,,,,,,,24.04.2024,"135,00",,,,
,,,,,,,,25.04.2024,"563,00",,,,
,,,,,,,,26.04.2024,"222,86",,,,
,,,,,,,,27.04.2024,"125,00",,,,
,,,,,,,,28.04.2024,"719,00",,,,
,,,,,,,,29.04.2024,"1145,00",,,,
,,,,,,,,30.04.2024,"432,00",,,,
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,С900НЕ199,Московская механизированная дистанция погрузочно-разгрузочных рабо#,Прочие,,,,0,,0,0,0
МОСКОВСКАЯ ЖД,ЦМ,Московская ДМ,С605ЕЕ150,,В целевой структуре парка,,,,8163,,"5421,65",25,"3,2"
,,,,,,,,06.04.2024,"158,00",06.04.2024,"158,00",2,
,,,,,,,,07.04.2024,"163,00",07.04.2024,"163,00",3,
,,,,,,,,08.04.2024,"401,00",08.04.2024,"401,00",,
,,,,,,,,09.04.2024,"127,00",09.04.2024,"127,00",,
,,,,,,,,10.04.2024,"1245,00",10.04.2024,"1245,00",4,
,,,,,,,,11.04.2024,"440,00",15.04.2024,"82,00",1,
,,,,,,,,12.04.2024,"903,00",16.04.2024,"55,00",1,
,,,,,,,,13.04.2024,"141,00",18.04.2024,"51,65",,
,,,,,,,,15.04.2024,"82,00",19.04.2024,"76,00",1,
,,,,,,,,16.04.2024,"55,00",20.04.2024,"107,00",2,
,,,,,,,,17.04.2024,"68,00",21.04.2024,"822,00",,
,,,,,,,,18.04.2024,"57,00",22.04.2024,"1780,00",10,
,,,,,,,,19.04.2024,"76,00",26.04.2024,"354,00",1,
,,,,,,,,20.04.2024,"107,00",,,,
,,,,,,,,21.04.2024,"822,00",,,,
,,,,,,,,22.04.2024,"1789,00",,,,
,,,,,,,,23.04.2024,"67,00",,,,
,,,,,,,,24.04.2024,"135,00",,,,
,,,,,,,,25.04.2024,"973,00",,,,
,,,,,,,,26.04.2024,"354,00",,,,
ГОРЬКОВСКАЯ ЖД,ЦМ,Горьковская дир,3740МО43,ДМУ-3,В целевой структуре парка,,,,146,,"389,55",10,6
,,,,,,,,08.04.2024,"30,00",01.04.2024,"156,00",3,
,,,,,,,,09.04.2024,"39,00",05.04.2024,"86,00",2,
,,,,,,,,11.04.2024,"1,00",08.04.2024,"30,00",,
,,,,,,,,19.04.2024,"1,00",09.04.2024,"39,00",1,
,,,,,,,,23.04.2024,"46,00",11.04.2024,"2,55",,
,,,,,,,,27.04.2024,"29,00",19.04.2024,"1,00",,
,,,,,,,,,,23.04.2024,"46,00",4,
,,,,,,,,,,27.04.2024,"29,00",,
ГОРЬКОВСКАЯ ЖД,ЦМ,Горьковская дир,0011НО50,ДМУ-4,В целевой структуре парка,,,,43,,0,0,6
,,,,,,,,04.04.2024,"42,00",,,,
,,,,,,,,07.04.2024,"1,00",,,,
,,,,,,,,17.04.2024,"0,00",,,,
,,,,,,,,28.04.2024,"0,00",,,,
ГОРЬКОВСКАЯ ЖД,ЦМ,Горьковская дир,3005НО50,ДМУ-2,В целевой структуре парка,,,,0,,"1452,14",0,"5,4"
,,,,,,,,,,01.04.2024,"286,00",,
,,,,,,,,,,11.04.2024,"49,00",,
,,,,,,,,,,12.04.2024,"146,00",,
,,,,,,,,,,15.04.2024,"11,00",,
,,,,,,,,,,18.04.2024,"28,00",,
,,,,,,,,,,19.04.2024,"298,00",,
,,,,,,,,,,20.04.2024,"9,14",,
,,,,,,,,,,23.04.2024,"54,00",,
,,,,,,,,,,24.04.2024,"14,00",,
,,,,,,,,,,25.04.2024,"22,00",,
,,,,,,,,,,26.04.2024,"455,00",,
,,,,,,,,,,27.04.2024,"26,00",,
,,,,,,,,,,28.04.2024,"8,00",,
,,,,,,,,,,30.04.2024,"46,00",,
